experiment_name,run_label,task_file,jct_s,solo_runtime_s,normalized_jct
final_representative_evaluation__venus__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs64_1gpu.yaml,2933.86002,2945.98,0.9958859259058106
final_representative_evaluation__venus__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_50e_1gpu.yaml,2104.880472,2042.09,1.0307481413649742
final_representative_evaluation__venus__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs32_1gpu.yaml,3078.726336,3038.08,1.0133789551295556
final_representative_evaluation__venus__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,3119.864073,1150.33,2.7121470125963856
final_representative_evaluation__venus__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs32_1gpu.yaml,2775.993768,2091.71,1.3271408407475223
final_representative_evaluation__venus__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/llama3_width_8layer_wiki_bs1_1gpu.yaml,3162.205813,2359.07,1.3404459439524896
final_representative_evaluation__venus__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs32_1gpu.yaml,3661.159582,2999.0,1.220793458486162
final_representative_evaluation__venus__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xlnet_base_cased_wiki_bs8_2gpu.yaml,6064.762971,3516.79,1.7245166674723256
final_representative_evaluation__venus__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs64_1gpu.yaml,3920.561166,1951.05,2.009462169600984
final_representative_evaluation__venus__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,5589.517414,1699.31,3.2892864833373547
final_representative_evaluation__venus__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/maskrcnn_coco_bs8_1gpu.yaml,10393.293709,6582.08,1.5790287734272448
final_representative_evaluation__venus__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs128_1gpu.yaml,5935.066782,2673.42,2.2200278227887873
final_representative_evaluation__venus__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,9943.599092,3981.23,2.4976198541656727
final_representative_evaluation__venus__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs128_1gpu.yaml,10527.871019,1870.75,5.627620483228652
final_representative_evaluation__venus__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_xl_wiki_bs2_1gpu.yaml,22657.298539,14448.63,1.5681278113565094
final_representative_evaluation__venus__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs32_1gpu.yaml,9747.324468,2191.55,4.447685185371085
final_representative_evaluation__venus__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs32_1gpu.yaml,11127.305768,1670.26,6.66202014536659
final_representative_evaluation__venus__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs32_50e_1gpu.yaml,12138.610067,2618.8,4.635180260806476
final_representative_evaluation__venus__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_large_wiki_bs8_1gpu.yaml,11390.349767,2725.48,4.179208714428284
final_representative_evaluation__venus__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs64_1gpu.yaml,12759.439032,2809.21,4.542002567269802
final_representative_evaluation__venus__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/unet_voc_1gpu.yaml,13144.771781,1880.22,6.991081778196168
final_representative_evaluation__venus__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs64_1gpu.yaml,14540.026557,1951.05,7.452411038671484
final_representative_evaluation__venus__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs32_50e_1gpu.yaml,14589.587455,1924.56,7.580739210520847
final_representative_evaluation__venus__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs128_1gpu.yaml,16201.176981,2673.42,6.060094179365756
final_representative_evaluation__venus__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs128_1gpu.yaml,16001.134525,2983.56,5.363101303476384
